Nama Kost,Wilayah,Harga,Ukuran (m2),Jumlah Fasilitas,Segmen_Pasar,all_facilities_bs
Kost 0088 Tipe A Babakan Madang Bogor,Bogor,Rp 950.000,12.0,17,Ekonomis,3 x 4 meter; Termasuk listrik; Kasur; Bantal; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; Dapur; Dispenser; Balcon; CCTV; Taman; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost 121 Cinere Depok,Depok,Rp 1.100.000,12.0,17,Standar,4 x 3 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Bantal; Cermin; K. Mandi Dalam; Kloset Duduk; Kloset Jongkok; Ember mandi; WiFi; R. Jemur; Balcon; CCTV; Jemuran; Pengurus Kos; Parkir Motor; Parkir Sepeda
Kost 126 Pondok Aren Tangerang Selatan,Tangerang Selatan,Rp 1.100.000,9.0,20,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Jemur; Dispenser; Balcon; CCTV; Jemuran; Gazebo; Jual Makanan; Taman; Parkir Mobil; Parkir Motor
Kost 20088 Babakan Madang Bogor,Bogor,Rp 700.000,12.0,21,Ekonomis,3 x 4 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; K. Mandi Luar; Ember mandi; Shower; R. Tamu; R. Jemur; R. Makan; R. Santai; Dispenser; CCTV; Jemuran; Pengurus Kos; Kartu Akses; Parkir Motor
Kost 21 Alam Sutera Tipe A Serpong Utara Tangerang Selatan,Tangerang Selatan,Rp 1.500.000,6.0,20,Standar,2 x 3 meter; Termasuk listrik; AC; Kasur; Lemari Baju; Bantal; Cermin; Cleaning service; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; WiFi; Kulkas; Laundry; Dapur; Dispenser; Pengurus Kos; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost 21 Alam Sutera Tipe B Serpong Utara Tangerang Selatan,Tangerang Selatan,Rp 2.200.000,9.0,22,Standar,3 x 3 meter; Termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Jendela; Kursi; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; WiFi; Kulkas; Laundry; Dapur; Dispenser; Pengurus Kos; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost 28 Pondoklabu Cinere Depok,Depok,Rp 1.350.000,16.0,19,Standar,4 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Penjaga Kos; R. Jemur; Dapur; CCTV; Jemuran; Parkir Motor; Parkir Sepeda
Kost 38 Lt3 Tanjung Priok Jakarta Utara,Jakarta Utara,Rp 700.000,9.0,18,Ekonomis,3 x 3 meter; Termasuk listrik; Kasur; Meja; Kulkas; Lemari Baju; Ventilasi; Bantal; Cermin; Cleaning service; Jendela; Kipas Angin; Kloset Jongkok; K. Mandi Luar; Penjaga Kos; R. Jemur; Dapur; CCTV; Jemuran; Pengurus Kos
Kost 44 Ciputat Timur Tangerang Selatan,Tangerang Selatan,Rp 750.000,9.0,17,Ekonomis,3 x 3 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Jendela; Kipas Angin; Kloset Jongkok; K. Mandi Luar; Ember mandi; WiFi; R. Tamu; R. Jemur; Dapur; CCTV; Jemuran; TV; Parkir Motor
Kost 50 Tipe A Limo Depok,Depok,Rp 1.400.000,12.0,27,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; Bantal; Guling; Jendela; Cermin; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; WiFi; R. Cuci; Kulkas; R. Tamu; Mesin Cuci; Penjaga Kos; R. Makan; R. Jemur; R. Santai; Dapur; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost 93 Suites Standart 2 Tanjung Priok Jakarta Utara,Jakarta Utara,Rp 2.200.000,12.0,23,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Guling; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; WiFi; Kulkas; R. Tamu; R. Makan; Dapur; Dispenser; CCTV; Kartu Akses; Pengurus Kos; Parkir Motor
Kost 99 Tipe B Pondok Aren Tangerang Selatan,Tangerang Selatan,Rp 850.000,10.0,20,Ekonomis,2.5 x 4 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Bantal; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Ember mandi; WiFi; Kulkas; R. Tamu; R. Jemur; R. Makan; R. Santai; Dapur; Balcon; CCTV; Pengurus Kos; Parkir Motor
Kost A21 Pondoklabu Cinere Depok,Depok,Rp 1.600.000,16.0,21,Standar,4 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Guling; Jendela; Cermin; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; R. Jemur; Dapur; Pengurus Kos; Jemuran; CCTV; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Aamodini Tipe A Bojongsari Depok,Depok,Rp 700.000,12.0,26,Ekonomis,3 x 4 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; Bantal; Cermin; Guling; Jendela; Kipas Angin; K. Mandi Dalam; Kloset Duduk; Kloset Jongkok; K. Mandi Luar; Bak mandi; WiFi; Kulkas; Mesin Cuci; R. Tamu; Mushola; R. Makan; R. Santai; Dapur; Balcon; CCTV; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Abah Penjaringan Jakarta Utara,Jakarta Utara,Rp 800.000,6.0,3,Ekonomis,3 x 2 meter; Termasuk listrik; Lemari Baju; Kipas Angin; Ember mandi
Kost Abas Babakan Madang Bogor,Bogor,Rp 700.000,12.0,11,Ekonomis,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Bantal; Jendela; Kloset Duduk; K. Mandi Luar; Ember mandi; Laundry; R. Jemur; Dispenser
Kost Abdi Muwardi Residence Tipe A Grogol Petamburan Jakarta Barat,Jakarta Barat,Rp 2.180.000,8.0,27,Premium,2 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; Cermin; Bantal; Cleaning service; Guling; Wastafel; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; Air panas; WiFi; Kulkas; R. Tamu; Penjaga Kos; Laundry; R. Jemur; R. Makan; Dapur; Dispenser; CCTV; Parkir Motor; Parkir Sepeda
Kost Abigail VVIP Kebon Jeruk Jakarta Barat,Jakarta Barat,Rp 880.000,12.0,14,Ekonomis,3 x 4 meter; Tidak termasuk listrik; Kasur; Lemari Baju; Kipas Angin; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Tamu; R. Jemur; R. Santai; Dapur; Jemuran; R. Keluarga; Parkir Motor
Kost Abu Beji Depok,Depok,Rp 800.000,9.0,19,Ekonomis,3 x 3 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Jendela; Kloset Jongkok; K. Mandi Luar; Ember mandi; WiFi; Kulkas; R. Tamu; R. Makan; R. Jemur; R. Santai; Dapur; Balcon; CCTV; Parkir Motor; Parkir Sepeda
Kost Adhiraka Tipe C Pinang Tangerang,Tangerang,Rp 1.300.000,12.0,12,Ekonomis,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Bantal; Jendela; K. Mandi Dalam; Kloset Duduk; Ember mandi; R. Jemur; Balcon; Rooftop; Parkir Motor; Parkir Motor & Sepeda
Kost Adinda Tipe Non Ac Serpong Tangerang Selatan,Tangerang Selatan,Rp 1.100.000,12.0,25,Ekonomis,3 x 4 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Guling; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; Laundry; Penjaga Kos; R. Tamu; R. Jemur; Dapur; CCTV; Jemuran; Jual Makanan; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Adit Aster Cikarang Barat Bekasi,Bekasi,Rp 1.400.000,9.0,22,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Guling; Jendela; Kursi; Cermin; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; Balcon; Pengurus Kos; CCTV; Jemuran; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Aeon Bsd Tipe Executive Cisauk Tangerang,Bogor,Rp 1.300.000,16.0,25,Standar,4 x 4 meter; Tidak termasuk listrik; AC; TV; Lemari Baju; Ventilasi; Wastafel; Dapur Pribadi; TV Kabel; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Tamu; Mushola; R. Jemur; R. Makan; R. Santai; Dapur; CCTV; Jemuran; R. Keluarga; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Aeon BSD Tipe Supreme Cisauk Tangerang,Bogor,Rp 1.500.000,30.0,22,Standar,5 x 6 meter; Tidak termasuk listrik; AC; TV; Lemari Baju; Ventilasi; Jendela; Wastafel; Dapur Pribadi; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Cuci; R. Tamu; R. Jemur; R. Makan; R. Santai; CCTV; R. Keluarga; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost AF II 2 Serpong Tangerang Selatan,Tangerang Selatan,Rp 1.800.000,14.0,27,Premium,4 x 3.5 meter; Tidak termasuk listrik; AC; Kasur; Meja; Meja Rias; Lemari Baju; Ventilasi; Bantal; Cermin; Cleaning service; Guling; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Laundry; Penjaga Kos; R. Tamu; R. Jemur; Dapur; Dispenser; CCTV; Jemuran; Pengurus Kos; Parkir Mobil; Parkir Motor; Parkir Sepeda
